Country Name,Time,Energy Value
Dominican Republic,2012,1.915
Ecuador,2008,11.70604
Ecuador,2009,9.57504
Ecuador,2010,9.03604
Ecuador,2011,11.50804
Ecuador,2012,12.414
El Salvador,2008,3.726
El Salvador,2009,3.256
El Salvador,2010,3.887
El Salvador,2011,3.823
El Salvador,2012,3.752
Falkland Islands (Islas Malvinas),2008,0.002
Falkland Islands (Islas Malvinas),2009,0.002
Falkland Islands (Islas Malvinas),2010,0.002
Falkland Islands (Islas Malvinas),2011,0.002
Falkland Islands (Islas Malvinas),2012,0.002
French Guiana,2008,0.699
French Guiana,2009,0.718
French Guiana,2010,0.747
French Guiana,2011,0.66
French Guiana,2012,0.522
Grenada,2008,0
Grenada,2009,0
Grenada,2010,0
Grenada,2011,0
Grenada,2012,0
Guadeloupe,2008,0.15
Guadeloupe,2009,0.15
Guadeloupe,2010,0.15
Guadeloupe,2011,0.15
Guadeloupe,2012,0.15
Guatemala,2008,5.165
Guatemala,2009,5.627
Guatemala,2010,6.425
Guatemala,2011,6.723
Guatemala,2012,6.25
Guyana,2008,0
Guyana,2009,0
Guyana,2010,0
Guyana,2011,0
Guyana,2012,0
Haiti,2008,0.179
Haiti,2009,0.205
Haiti,2010,0.175
Haiti,2011,0.119
Haiti,2012,0.158
Honduras,2008,2.465
Honduras,2009,2.91
Honduras,2010,3.188
Honduras,2011,2.92767
Honduras,2012,3.293
Jamaica,2008,0.233
Jamaica,2009,0.236
Jamaica,2010,0.267
Jamaica,2011,0.358
Jamaica,2012,0.374
Martinique,2008,0.002
Martinique,2009,0.002
Martinique,2010,0.002
Martinique,2011,0.002
Martinique,2012,0.002
Montserrat,2008,0
Montserrat,2009,0
Montserrat,2010,0
Montserrat,2011,0
Montserrat,2012,0
Netherlands Antilles,2008,0.03
Netherlands Antilles,2009,0.06
Netherlands Antilles,2010,0.06
Netherlands Antilles,2011,0.06
Netherlands Antilles,2012,0.06
Nicaragua,2008,1.05147
Nicaragua,2009,0.911
Nicaragua,2010,1.181
Nicaragua,2011,1.12
Nicaragua,2012,1.72
Panama,2008,4.014
Panama,2009,3.926
Panama,2010,4.225
Panama,2011,4.13
Panama,2012,5.363
Paraguay,2008,54.909
Paraguay,2009,54.409
Paraguay,2010,53.524
Paraguay,2011,57.049
Paraguay,2012,59.63
Peru,2008,19.45505
Peru,2009,19.91405
Peru,2010,20.54905
Peru,2011,22.09005
Peru,2012,22.515
Puerto Rico,2008,0.156
Puerto Rico,2009,0.174
Puerto Rico,2010,0.153
Puerto Rico,2011,0.149
Puerto Rico,2012,0.148
Saint Kitts and Nevis,2008,0
Saint Kitts and Nevis,2009,0
Saint Kitts and Nevis,2010,0
Saint Kitts and Nevis,2011,0
Saint Kitts and Nevis,2012,0
Saint Lucia,2008,0
Saint Lucia,2009,0
Saint Lucia,2010,0
Saint Lucia,2011,0
Saint Lucia,2012,0
Saint Vincent/Grenadines,2008,0.02344
Saint Vincent/Grenadines,2009,0.023
Saint Vincent/Grenadines,2010,0.026
Saint Vincent/Grenadines,2011,0.025
Saint Vincent/Grenadines,2012,0.025
Suriname,2008,0.863
Suriname,2009,0.863
Suriname,2010,0.745
Suriname,2011,0.7
Suriname,2012,0.6
Trinidad and Tobago,2008,0.02
Trinidad and Tobago,2009,0.019
Trinidad and Tobago,2010,0.02
Trinidad and Tobago,2011,0.02
Trinidad and Tobago,2012,0.02
Turks and Caicos Islands,2008,0
Turks and Caicos Islands,2009,0
Turks and Caicos Islands,2010,0
Turks and Caicos Islands,2011,0
Turks and Caicos Islands,2012,0
Uruguay,2008,5.296
Uruguay,2009,6.042
Uruguay,2010,9.532
Uruguay,2011,7.429
Uruguay,2012,6.489
Venezuela,2008,85.973
Venezuela,2009,85.102
Venezuela,2010,76.012
Venezuela,2011,82.833
Venezuela,2012,81.188
"Virgin Islands,  U.S.",2008,0
"Virgin Islands,  U.S.",2009,0
"Virgin Islands,  U.S.",2010,0
"Virgin Islands,  U.S.",2011,0
"Virgin Islands,  U.S.",2012,0
"Virgin Islands, British",2008,0
"Virgin Islands, British",2009,0
"Virgin Islands, British",2010,0
"Virgin Islands, British",2011,0
"Virgin Islands, British",2012,0
Albania,2008,3.759
Albania,2009,5.179
Albania,2010,7.638
Albania,2011,4.017
Albania,2012,4.245
Austria,2008,44.775
Austria,2009,47.352
Austria,2010,45.162
Austria,2011,42.473
Austria,2012,50.881
Belgium,2008,5.478
Belgium,2009,6.749
Belgium,2010,7.788
Belgium,2011,9.665
Belgium,2012,10.473
Bosnia and Herzegovina,2008,4.818
Bosnia and Herzegovina,2009,6.177
Bosnia and Herzegovina,2010,7.946
Bosnia and Herzegovina,2011,4.343
Bosnia and Herzegovina,2012,4.173
Bulgaria,2008,2.934
Bulgaria,2009,3.683
Bulgaria,2010,5.737
Bulgaria,2011,3.778
Bulgaria,2012,5.295
Croatia,2008,5.225
Croatia,2009,6.742
Croatia,2010,8.418
Croatia,2011,4.618
Croatia,2012,5.018
Cyprus,2008,0.014
Cyprus,2009,0.01
Cyprus,2010,0.121
Cyprus,2011,0.1276
Cyprus,2012,0.257
Czech Republic,2008,3.721
Czech Republic,2009,4.639
Czech Republic,2010,5.9
Czech Republic,2011,7.218
Czech Republic,2012,8.016
Denmark,2008,10.951
Denmark,2009,10.82
Denmark,2010,13.151
Denmark,2011,14.682
Denmark,2012,14.674
Faroe Islands,2008,0.10789
Faroe Islands,2009,0.10649
Faroe Islands,2010,0.08034
Faroe Islands,2011,0.104
Faroe Islands,2012,0.111
Finland,2008,27.764
Finland,2009,21.78
Finland,2010,24.263
Finland,2011,23.395
Finland,2012,28.233
France,2008,75.052
France,2009,71.032
France,2010,79.693
France,2011,66.294
France,2012,82.776
Germany,2008,93.98
Germany,2009,99.251
Germany,2010,109.635
Germany,2011,126.78
Germany,2012,142.685
Gibraltar,2008,0
Gibraltar,2009,0
Gibraltar,2010,0
Gibraltar,2011,0
Gibraltar,2012,0
Greece,2008,5.736
Greece,2009,8.15
Greece,2010,10.576
Greece,2011,8.215
Greece,2012,10.107
Hungary,2008,2.469
Hungary,2009,3.01
Hungary,2010,3.17
Hungary,2011,2.77
Hungary,2012,2.644
Iceland,2008,16.342
Iceland,2009,16.709
Iceland,2010,16.931
Iceland,2011,17.083
Iceland,2012,17.423
Ireland,2008,3.578
Ireland,2009,4.0994
Ireland,2010,3.7254
Ireland,2011,5.4224
Ireland,2012,5.2294
Italy,2008,59.445
Italy,2009,70.537
Italy,2010,78.6
Italy,2011,85.325
Italy,2012,91.804
Kosovo,2008,0.075
Kosovo,2009,0.119
Kosovo,2010,0.154
Kosovo,2011,0.104
Kosovo,2012,0.095
Luxembourg,2008,0.322
Luxembourg,2009,0.307
Luxembourg,2010,0.312
Luxembourg,2011,0.302
Luxembourg,2012,0.327
Macedonia,2008,0.832
Macedonia,2009,1.257
Macedonia,2010,2.407
Macedonia,2011,1.419
Macedonia,2012,1.034
Malta,2008,0
Malta,2009,0.001
Malta,2010,0.002
Malta,2011,0
Malta,2012,0.016
Montenegro,2008,1.524
Montenegro,2009,2.05
Montenegro,2010,2.723
Montenegro,2011,1.192
Montenegro,2012,1.462
Netherlands,2008,10.995
Netherlands,2009,12.346
Netherlands,2010,12.763
Netherlands,2011,14.026
Netherlands,2012,12.063
Norway,2008,139.051
Norway,2009,125.309
Norway,2010,116.988
Norway,2011,120.883
Norway,2012,142.412
Poland,2008,6.792
Poland,2009,8.892
Poland,2010,11.1045
Poland,2011,12.9065
Poland,2012,16.868
Portugal,2008,14.86
Portugal,2009,18.507
Portugal,2010,28.52
Portugal,2011,24.257
Portugal,2012,19.314
Romania,2008,17.052
Romania,2009,15.399
Romania,2010,20.103
Romania,2011,16.064
Romania,2012,14.805
Serbia,2008,9.468
Serbia,2009,10.436
Serbia,2010,11.772
Serbia,2011,8.58
Serbia,2012,9.2
Slovakia,2008,4.542
Slovakia,2009,4.8832
Slovakia,2010,5.911
Slovakia,2011,4.827
Slovakia,2012,5.42
Slovenia,2008,4.271
Slovenia,2009,4.862
Slovenia,2010,4.702
Slovenia,2011,3.846
Slovenia,2012,4.283
Spain,2008,62.691
Spain,2009,74.577
Spain,2010,97.908
Spain,2011,87.28
Spain,2012,86.757
Sweden,2008,81.603
Sweden,2009,79.894
Sweden,2010,82.642
Sweden,2011,83.747
Sweden,2012,96.967
Switzerland,2008,38.119
Switzerland,2009,37.813
Switzerland,2010,38.246
Switzerland,2011,34.702
Switzerland,2012,40.155
Turkey,2008,34.165
Turkey,2009,37.869
Turkey,2010,55.319
Turkey,2011,57.686
Turkey,2012,64.637
United Kingdom,2008,23.292
United Kingdom,2009,26.902
United Kingdom,2010,27.124
United Kingdom,2011,36.254
United Kingdom,2012,40.2483
Eurasia,2008,238.43503
Eurasia,2009,246.229
Eurasia,2010,248.521
Eurasia,2011,245.523
Eurasia,2012,246.954
Armenia,2008,1.78103
Armenia,2009,2.003
Armenia,2010,2.537
Armenia,2011,2.471
Armenia,2012,2.303
Azerbaijan,2008,2.21
Azerbaijan,2009,2.285
Azerbaijan,2010,3.412
Azerbaijan,2011,2.649
Azerbaijan,2012,1.803
Belarus,2008,0.121
Belarus,2009,0.188
Belarus,2010,0.256
Belarus,2011,0.2567
Belarus,2012,0.202
Estonia,2008,0.197
Estonia,2009,0.541
Estonia,2010,1.044
Estonia,2011,1.181
Estonia,2012,1.477
Georgia,2008,7.09
Georgia,2009,7.338
Georgia,2010,9.273
Georgia,2011,7.811
Georgia,2012,7.151
Kazakhstan,2008,7.386
Kazakhstan,2009,6.811
Kazakhstan,2010,7.943
Kazakhstan,2011,7.805
Kazakhstan,2012,7.564
Kyrgyzstan,2008,10.023
Kyrgyzstan,2009,10.115
Kyrgyzstan,2010,10.997
Kyrgyzstan,2011,13.998
Kyrgyzstan,2012,14.037
Latvia,2008,3.181
Latvia,2009,3.521
Latvia,2010,3.6
Latvia,2011,3.0553
Latvia,2012,4.073
Lithuania,2008,0.599
Lithuania,2009,0.68
Lithuania,2010,0.906
Lithuania,2011,0.935
Lithuania,2012,1.179
Moldova,2008,0.385
Moldova,2009,0.354
Moldova,2010,0.403
Moldova,2011,0.348
Moldova,2012,0.266
Russia,2008,166.129
Russia,2009,175.552
Russia,2010,168.101
Russia,2011,167.512
Russia,2012,167.938
Tajikistan,2008,16.642
Tajikistan,2009,15.741
Tajikistan,2010,16.236
Tajikistan,2011,16.038
Tajikistan,2012,16.731
Turkmenistan,2008,0.003
Turkmenistan,2009,0.003
Turkmenistan,2010,0.003
Turkmenistan,2011,0.003
Turkmenistan,2012,0.003
Ukraine,2008,11.442
Ukraine,2009,11.86
Ukraine,2010,13.072
Ukraine,2011,11.322
Ukraine,2012,11.129
Uzbekistan,2008,11.246
Uzbekistan,2009,9.237
Uzbekistan,2010,10.738
Uzbekistan,2011,10.138
Uzbekistan,2012,11.098
Bahrain,2008,0.001
Bahrain,2009,0.002
Bahrain,2010,0.002
Bahrain,2011,0.0025
Bahrain,2012,0.0025
Iran,2008,5.149
Iran,2009,7.386
Iran,2010,9.594
Iran,2011,12.2112
Iran,2012,12.553
Iraq,2008,3.45015
Iraq,2009,3.19473
Iraq,2010,4.71834
Iraq,2011,4.099
Iraq,2012,5.37
Israel,2008,0.025
Israel,2009,0.099
Israel,2010,0.147
Israel,2011,0.313
Israel,2012,0.475
Jordan,2008,0.072
Jordan,2009,0.068
Jordan,2010,0.07
Jordan,2011,0.064
Jordan,2012,0.069
Kuwait,2008,0
Kuwait,2009,0
Kuwait,2010,0
Kuwait,2011,0
Kuwait,2012,0
Lebanon,2008,0.369
Lebanon,2009,0.616
Lebanon,2010,0.831
Lebanon,2011,0.797
Lebanon,2012,0.997
Oman,2008,0
Oman,2009,0
Oman,2010,0
Oman,2011,0
Oman,2012,0
Palestinian Territories,2008,0
Palestinian Territories,2009,0
Palestinian Territories,2010,0
Palestinian Territories,2011,0
Palestinian Territories,2012,0
Qatar,2008,0
Qatar,2009,0
Qatar,2010,0
Qatar,2011,0
Qatar,2012,0
Saudi Arabia,2008,0
Saudi Arabia,2009,0
Saudi Arabia,2010,0
Saudi Arabia,2011,0
Saudi Arabia,2012,0.001
Syria,2008,2.84
Syria,2009,1.847
Syria,2010,2.566
Syria,2011,3.25
Syria,2012,3.205
United Arab Emirates,2008,0
United Arab Emirates,2009,0.01
United Arab Emirates,2010,0.02
United Arab Emirates,2011,0.019
United Arab Emirates,2012,0.019
Yemen,2008,0
Yemen,2009,0
Yemen,2010,0
Yemen,2011,0
Yemen,2012,0
Algeria,2008,0.28
Algeria,2009,0.303
Algeria,2010,0.172
Algeria,2011,0.497
Algeria,2012,0.616
Angola,2008,3.103
Angola,2009,3.063
Angola,2010,3.666
Angola,2011,3.967
Angola,2012,3.94
Benin,2008,0.004
Benin,2009,0.002
Benin,2010,0.002
Benin,2011,0.002
Benin,2012,0.002
Botswana,2008,0
Botswana,2009,0
Botswana,2010,0
Botswana,2011,0
Botswana,2012,0
Burkina Faso,2008,0.13457
Burkina Faso,2009,0.13097
Burkina Faso,2010,0.116
Burkina Faso,2011,0.081
Burkina Faso,2012,0.097
Burundi,2008,0.111
Burundi,2009,0.12
Burundi,2010,0.141
Burundi,2011,0.15
Burundi,2012,0.2
Cameroon,2008,4.267
Cameroon,2009,4.047
Cameroon,2010,4.276
Cameroon,2011,4.412
Cameroon,2012,4.558
Cape Verde,2008,0.006
Cape Verde,2009,0.007
Cape Verde,2010,0.007
Cape Verde,2011,0.007
Cape Verde,2012,0.007
Central African Republic,2008,0.136
Central African Republic,2009,0.135
Central African Republic,2010,0.134
Central African Republic,2011,0.15
Central African Republic,2012,0.155
Chad,2008,0
Chad,2009,0
Chad,2010,0
Chad,2011,0
Chad,2012,0
Comoros,2008,0.005
Comoros,2009,0.005
Comoros,2010,0.005
Comoros,2011,0.005
Comoros,2012,0.003
Congo (Brazzaville),2008,0.371
Congo (Brazzaville),2009,0.327
Congo (Brazzaville),2010,0.426
Congo (Brazzaville),2011,0.783
Congo (Brazzaville),2012,0.813
Congo (Kinshasa),2008,7.408
Congo (Kinshasa),2009,7.722
Congo (Kinshasa),2010,7.774
Congo (Kinshasa),2011,7.769
Congo (Kinshasa),2012,7.852
Cote dIvoire (IvoryCoast),2008,1.997
Cote dIvoire (IvoryCoast),2009,2.217
Cote dIvoire (IvoryCoast),2010,1.711
Cote dIvoire (IvoryCoast),2011,1.865
Cote dIvoire (IvoryCoast),2012,1.837
Djibouti,2008,0
Djibouti,2009,0
Djibouti,2010,0
Djibouti,2011,0
Djibouti,2012,0
Egypt,2008,15.4662
Egypt,2009,13.8672
Egypt,2010,14.607
Egypt,2011,14.685
Egypt,2012,14.721
Equatorial Guinea,2008,0.007
Equatorial Guinea,2009,0.007
Equatorial Guinea,2010,0.007
Equatorial Guinea,2011,0.007
Equatorial Guinea,2012,0.007
Eritrea,2008,0.002
Eritrea,2009,0.002
Eritrea,2010,0.002
Eritrea,2011,0.002
Eritrea,2012,0.002
Ethiopia,2008,3.2771
Ethiopia,2009,3.5133
Ethiopia,2010,4.9003
Ethiopia,2011,6.2173
Ethiopia,2012,6.5943
Gabon,2008,0.892
Gabon,2009,0.942
Gabon,2010,0.905
Gabon,2011,0.839
Gabon,2012,0.908
"Gambia, The",2008,0
"Gambia, The",2009,0
"Gambia, The",2010,0
"Gambia, The",2011,0
"Gambia, The",2012,0
Ghana,2008,6.133
Ghana,2009,6.808
Ghana,2010,6.926
Ghana,2011,7.485
Ghana,2012,7.99
Guinea,2008,0.524
Guinea,2009,0.517
Guinea,2010,0.482
Guinea,2011,0.52
Guinea,2012,0.55
Guinea-Bissau,2008,0
Guinea-Bissau,2009,0
Guinea-Bissau,2010,0
Guinea-Bissau,2011,0
Guinea-Bissau,2012,0
Kenya,2008,4.317
Kenya,2009,3.819
Kenya,2010,5.18
Kenya,2011,5.248
Kenya,2012,6.187
Lesotho,2008,0.584
Lesotho,2009,0.648
Lesotho,2010,0.694
Lesotho,2011,0.63
Lesotho,2012,0.486
Liberia,2008,0
Liberia,2009,0
Liberia,2010,0
Liberia,2011,0
Liberia,2012,0
Libya,2008,0
Libya,2009,0
Libya,2010,0
Libya,2011,0
Libya,2012,0
Madagascar,2008,0.692
Madagascar,2009,0.734
Madagascar,2010,0.704
Madagascar,2011,0.69
Madagascar,2012,1.335
Malawi,2008,1.521
Malawi,2009,1.488
Malawi,2010,1.735
Malawi,2011,1.809
Malawi,2012,1.9
Mali,2008,0.278
Mali,2009,0.282
Mali,2010,0.286
Mali,2011,0.7
Mali,2012,0.724
Mauritania,2008,0.06
Mauritania,2009,0.11
Mauritania,2010,0.116
Mauritania,2011,0.13
Mauritania,2012,0.135
Mauritius,2008,0.5674
Mauritius,2009,0.582
Mauritius,2010,0.622
Mauritius,2011,0.578
Mauritius,2012,0.578
Morocco,2008,1.2181
Morocco,2009,2.9331
Morocco,2010,4.0921
Morocco,2011,2.8631
Morocco,2012,2.3431
Mozambique,2008,14.963
Mozambique,2009,16.781
Mozambique,2010,16.481
Mozambique,2011,16.642
Mozambique,2012,14.994
Namibia,2008,1.476
Namibia,2009,1.395
Namibia,2010,1.235
Namibia,2011,1.39
Namibia,2012,1.591
Niger,2008,0
Niger,2009,0
Niger,2010,0
Niger,2011,0
Niger,2012,0
Nigeria,2008,5.664
Nigeria,2009,4.484
Nigeria,2010,6.31
Nigeria,2011,5.824
Nigeria,2012,5.602
Reunion,2008,0.946
Reunion,2009,0.856
Reunion,2010,0.866
Reunion,2011,0.886
Reunion,2012,0.963
Rwanda,2008,0.0682
Rwanda,2009,0.0982
Rwanda,2010,0.1102
Rwanda,2011,0.1302
Rwanda,2012,0.1352
Saint Helena,2008,0
Saint Helena,2009,0
Saint Helena,2010,0
Saint Helena,2011,0
Saint Helena,2012,0
Sao Tome and Principe,2008,0.008
Sao Tome and Principe,2009,0.007
Sao Tome and Principe,2010,0.005
Sao Tome and Principe,2011,0.01
Sao Tome and Principe,2012,0.01
Senegal,2008,0.259
Senegal,2009,0.29
Senegal,2010,0.305
Senegal,2011,0.309
Senegal,2012,0.336
Seychelles,2008,0
Seychelles,2009,0
Seychelles,2010,0
Seychelles,2011,0
Seychelles,2012,0
Sierra Leone,2008,0.095
Sierra Leone,2009,0.087
Sierra Leone,2010,0.123
Sierra Leone,2011,0.1
Sierra Leone,2012,0.1
Somalia,2008,0
Somalia,2009,0
Somalia,2010,0
Somalia,2011,0
Somalia,2012,0
South Africa,2008,1.518
South Africa,2009,1.716
South Africa,2010,2.427
South Africa,2011,2.37
South Africa,2012,2.418
Sudan and South Sudan,2008,1.958
Sudan and South Sudan,2009,3.706
Sudan and South Sudan,2010,6.65
Sudan and South Sudan,2011,6.912
Sudan and South Sudan,2012,7.063
Swaziland,2008,0.157
Swaziland,2009,0.202
Swaziland,2010,0.236
Swaziland,2011,0.15
Swaziland,2012,0.125
Tanzania,2008,2.623
Tanzania,2009,2.614
Tanzania,2010,2.595
Tanzania,2011,1.788
Tanzania,2012,1.672
Togo,2008,0.0919
Togo,2009,0.111
Togo,2010,0.094
Togo,2011,0.107
Togo,2012,0.093
Tunisia,2008,0.069
Tunisia,2009,0.175
Tunisia,2010,0.189
Tunisia,2011,0.217
Tunisia,2012,0.31
Uganda,2008,1.711
Uganda,2009,1.486
Uganda,2010,1.585
Uganda,2011,1.447
Uganda,2012,2.525
Western Sahara,2008,0
Western Sahara,2009,0
Western Sahara,2010,0
Western Sahara,2011,0
Western Sahara,2012,0
Zambia,2008,9.569
Zambia,2009,10.279
Zambia,2010,11.16
Zambia,2011,11.322
Zambia,2012,11.696
Zimbabwe,2008,5.651
Zimbabwe,2009,5.403
Zimbabwe,2010,5.741
Zimbabwe,2011,5.149
Zimbabwe,2012,5.396
Afghanistan,2008,0.54201
Afghanistan,2009,0.7761
Afghanistan,2010,0.7511
Afghanistan,2011,0.5951
Afghanistan,2012,0.7101
American Samoa,2008,0
American Samoa,2009,0
American Samoa,2010,0
American Samoa,2011,0
American Samoa,2012,0
Australia,2008,19.61
Australia,2009,19.62
Australia,2010,22.357
Australia,2011,26.813
Australia,2012,23.834
Bangladesh,2008,1.481
Bangladesh,2009,1.5682
Bangladesh,2010,1.719
Bangladesh,2011,1.8098
Bangladesh,2012,1.9428
Bhutan,2008,6.891
Bhutan,2009,6.928
Bhutan,2010,7.255
Bhutan,2011,6.975
Bhutan,2012,6.745
Brunei,2008,0
Brunei,2009,0
Brunei,2010,0
Brunei,2011,0
Brunei,2012,0.002
Burma (Myanmar),2008,4.03
Burma (Myanmar),2009,5.203
Burma (Myanmar),2010,5.054
Burma (Myanmar),2011,7.443
Burma (Myanmar),2012,7.688
Cambodia,2008,0.062
Cambodia,2009,0.058
Cambodia,2010,0.049
Cambodia,2011,0.0652
Cambodia,2012,0.535
China,2008,596.785
China,2009,639.28
China,2010,770.919
China,2011,800.572
China,2012,1003.515
Cook Islands,2008,0.00013
Cook Islands,2009,0.00013
Cook Islands,2010,0.00013
Cook Islands,2011,0.00013
Cook Islands,2012,0.00013
Fiji,2008,0.5351
Fiji,2009,0.5001
Fiji,2010,0.4541
Fiji,2011,0.4961
Fiji,2012,0.5651
French Polynesia,2008,0.209
French Polynesia,2009,0.208
French Polynesia,2010,0.273
French Polynesia,2011,0.23
French Polynesia,2012,0.172
Guam,2008,0
Guam,2009,0
Guam,2010,0
Guam,2011,0
Guam,2012,0
Hong Kong,2008,0.001
Hong Kong,2009,0.001
Hong Kong,2010,0.001
Hong Kong,2011,0.001
Hong Kong,2012,0.08
India,2008,131.402
India,2009,131.914
India,2010,143.92
India,2011,172.973
India,2012,159.947
Indonesia,2008,19.7694
Indonesia,2009,20.6281
Indonesia,2010,26.7342
Indonesia,2011,21.7652
Indonesia,2012,22.266
Japan,2008,106.065
Japan,2009,106.833
Japan,2010,115.238
Japan,2011,117.692
Japan,2012,122.368
Kiribati,2008,0
Kiribati,2009,0
Kiribati,2010,0
Kiribati,2011,0
Kiribati,2012,0
"Korea, North",2008,13.927
"Korea, North",2009,12.375
"Korea, North",2010,13.266
"Korea, North",2011,13.068
"Korea, North",2012,13.365
"Korea, South",2008,4.427
"Korea, South",2009,4.751
"Korea, South",2010,6.341
"Korea, South",2011,7.536
"Korea, South",2012,7.123
Laos,2008,3.642
Laos,2009,3.347
Laos,2010,7.501
Laos,2011,11.268
Laos,2012,11.14
Macau,2008,0
Macau,2009,0
Macau,2010,0
Macau,2011,0
Macau,2012,0
Malaysia,2008,7.38601
Malaysia,2009,8.35601
Malaysia,2010,7.69101
Malaysia,2011,8.83101
Malaysia,2012,9.831
Maldives,2008,0.00003
Maldives,2009,0.00003
Maldives,2010,0.0001
Maldives,2011,0.0002
Maldives,2012,0.0002
Mongolia,2008,0.0024
Mongolia,2009,0.0024
Mongolia,2010,0.0024
Mongolia,2011,0.0044
Mongolia,2012,0.0044
Nauru,2008,0
Nauru,2009,0
Nauru,2010,0
Nauru,2011,0
Nauru,2012,0
Nepal,2008,2.775
Nepal,2009,3.071
Nepal,2010,3.173
Nepal,2011,3.455
Nepal,2012,3.498
New Caledonia,2008,0.483
New Caledonia,2009,0.432
New Caledonia,2010,0.292
New Caledonia,2011,0.43
New Caledonia,2012,0.43
New Zealand,2008,27.939
New Zealand,2009,30.919
New Zealand,2010,32.599
New Zealand,2011,33.539
New Zealand,2012,31.564
Niue,2008,0
Niue,2009,0
Niue,2010,0
Niue,2011,0
Niue,2012,0
Pakistan,2008,27.506
Pakistan,2009,27.822
Pakistan,2010,31.503
Pakistan,2011,28.25
Pakistan,2012,29.576
Papua New Guinea,2008,1.246
Papua New Guinea,2009,1.245
Papua New Guinea,2010,1.25
Papua New Guinea,2011,1.125
Papua New Guinea,2012,1.1
Philippines,2008,20.52911
Philippines,2009,20.07869
Philippines,2010,17.717
Philippines,2011,19.643
Philippines,2012,20.639
Samoa,2008,0.0532
Samoa,2009,0.0542
Samoa,2010,0.0532
Samoa,2011,0.0552
Samoa,2012,0.0372
Singapore,2008,1.048
Singapore,2009,1.064
Singapore,2010,1.174
Singapore,2011,1.174
Singapore,2012,0.638
Solomon Islands,2008,0
Solomon Islands,2009,0
Solomon Islands,2010,0
Solomon Islands,2011,0
Solomon Islands,2012,0
Sri Lanka,2008,4.109
Sri Lanka,2009,3.886
Sri Lanka,2010,5.649
Sri Lanka,2011,4.683
Sri Lanka,2012,3.444
Taiwan,2008,8.055
Taiwan,2009,7.706
Taiwan,2010,8.548
Taiwan,2011,9.09
Taiwan,2012,10.742
Thailand,2008,9.617
Thailand,2009,10.076
Thailand,2010,8.677
Thailand,2011,11.29
Thailand,2012,13.689
Timor-Leste (East Timor),2008,0
Timor-Leste (East Timor),2009,0
Timor-Leste (East Timor),2010,0
Timor-Leste (East Timor),2011,0
Timor-Leste (East Timor),2012,0
Tonga,2008,0
Tonga,2009,0
Tonga,2010,0
Tonga,2011,0
Tonga,2012,0
U.S. Pacific Islands,2008,0.018
U.S. Pacific Islands,2009,0.018
U.S. Pacific Islands,2010,0.018
U.S. Pacific Islands,2011,0.018
U.S. Pacific Islands,2012,0.018
Vanuatu,2008,0
Vanuatu,2009,0
Vanuatu,2010,0
Vanuatu,2011,0
Vanuatu,2012,0
Vietnam,2008,25.782
